confidence,city_a,city_b,city_a_slug,city_b_slug,city_a_counties,city_b_counties,county_overlap,normalized_a,normalized_b,edit_distance,blocked_pair,approved_alias_exists,suggested_action,reason
medium,STONGSVILLE,STRONGVILLE,stongsville,strongville,CUYAHOGA,CUYAHOGA,yes,stongsville,strongville,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,STRONGSVILLE,STRONGVILLE,strongsville,strongville,CUYAHOGA,CUYAHOGA,yes,strongsville,strongville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,TOELDO,TOLEDO,toeldo,toledo,LUCAS,LUCAS,yes,toeldo,toledo,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,W WORTHINGTON,WORTHINGTON,w-worthington,worthington,FRANKLIN,FRANKLIN,yes,w worthington,worthington,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WASHINGTON C H,WASHINGTON C.H.,washington-c-h,washington-c-h,FAYETTE,FAYETTE,yes,washington c h,washington ch,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WASHINGTON C H,WASHINGTON CH,washington-c-h,washington-ch,FAYETTE,FAYETTE,yes,washington c h,washington ch,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WASHINGTON COURT HOU,WASHINGTON COURT HOUSE,washington-court-hou,washington-court-house,FAYETTE,FAYETTE,yes,washington court hou,washington court house,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WASHINGTON COURT HOUSE,WASHINGTON COURTHOUSE,washington-court-house,washington-courthouse,FAYETTE,FAYETTE,yes,washington court house,washington courthouse,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WAYNESVILLE,WAYNEVILLE,waynesville,wayneville,WARREN,WARREN,yes,waynesville,wayneville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,WILLOUGBY HILLS,WILLOUGHBY HILL,willougby-hills,willoughby-hill,LAKE,LAKE,yes,willougby hills,willoughby hill,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
